% Ex(V/m)	Ey(V/m)	Ez(V/m)
2.979743e-04	-2.520481e-04	2.979743e-04
3.394505e-04	-2.957974e-04	3.394505e-04
3.842001e-04	-3.454434e-04	3.842001e-04
4.319862e-04	-4.014477e-04	4.319862e-04
4.824536e-04	-4.642468e-04	4.824536e-04
5.351182e-04	-5.342374e-04	5.351182e-04
5.893587e-04	-6.117622e-04	5.893587e-04
6.444110e-04	-6.970940e-04	6.444110e-04
6.993683e-04	-7.904187e-04	6.993683e-04
7.531850e-04	-8.918187e-04	7.531850e-04
8.046863e-04	-1.001257e-03	8.046863e-04
8.525845e-04	-1.118559e-03	8.525845e-04
8.955012e-04	-1.243401e-03	8.955012e-04
9.319958e-04	-1.375295e-03	9.319958e-04
9.606008e-04	-1.513579e-03	9.606008e-04
9.798617e-04	-1.657411e-03	9.798617e-04
9.883828e-04	-1.805760e-03	9.883828e-04
9.848752e-04	-1.957410e-03	9.848752e-04
9.682079e-04	-2.110964e-03	9.682079e-04
9.374584e-04	-2.264847e-03	9.374584e-04
8.919614e-04	-2.417326e-03	8.919614e-04
8.313538e-04	-2.566519e-03	8.313538e-04
7.556135e-04	-2.710424e-03	7.556135e-04
6.650898e-04	-2.846941e-03	6.650898e-04
5.605236e-04	-2.973900e-03	5.605236e-04
4.430561e-04	-3.089100e-03	4.430561e-04
3.142239e-04	-3.190338e-03	3.142239e-04
1.759413e-04	-3.275453e-03	1.759413e-04
3.046759e-05	-3.342363e-03	3.046759e-05
-1.196385e-04	-3.389107e-03	-1.196385e-04
-2.715769e-04	-3.413888e-03	-2.715769e-04
-4.223751e-04	-3.415112e-03	-4.223751e-04
-5.689012e-04	-3.391474e-03	-5.689012e-04
-7.075769e-04	-3.342230e-03	-7.075769e-04
-8.334312e-04	-3.267830e-03	-8.334312e-04
-9.384749e-04	-3.170784e-03	-9.384749e-04
-1.010244e-03	-3.056054e-03	-1.010244e-03
-1.032086e-03	-2.930058e-03	-1.032086e-03
-9.863129e-04	-2.798168e-03	-9.863129e-04
-8.595151e-04	-2.662119e-03	-8.595151e-04
-6.475857e-04	-2.519653e-03	-6.475857e-04
-3.582956e-04	-2.367493e-03	-3.582956e-04
-1.172630e-05	-2.205982e-03	-1.172630e-05
3.591014e-04	-2.041777e-03	3.591014e-04
7.066931e-04	-1.886281e-03	7.066931e-04
9.708560e-04	-1.751038e-03	9.708560e-04
1.090992e-03	-1.643555e-03	1.090992e-03
1.031242e-03	-1.565277e-03	1.031242e-03
8.085104e-04	-1.509746e-03	8.085104e-04
5.031127e-04	-1.458698e-03	5.031127e-04
2.354885e-04	-1.379417e-03	2.354885e-04
1.128461e-04	-1.232441e-03	1.128461e-04
1.741487e-04	-9.953657e-04	1.741487e-04
3.701164e-04	-6.931588e-04	3.701164e-04
5.958487e-04	-4.097332e-04	5.958487e-04
7.577453e-04	-2.580738e-04	7.577453e-04
8.302016e-04	-3.141274e-04	8.302016e-04
8.629062e-04	-5.555879e-04	8.629062e-04
9.344232e-04	-8.579046e-04	9.344232e-04
1.086208e-03	-1.066879e-03	1.086208e-03
1.284094e-03	-1.107652e-03	1.284094e-03
1.432942e-03	-1.051048e-03	1.432942e-03
1.432758e-03	-1.078945e-03	1.432758e-03
1.239573e-03	-1.362968e-03	1.239573e-03
8.967820e-04	-1.940093e-03	8.967820e-04
5.242542e-04	-2.675849e-03	5.242542e-04
2.737175e-04	-3.340622e-03	2.737175e-04
2.681464e-04	-3.739050e-03	2.681464e-04
5.441120e-04	-3.798132e-03	5.441120e-04
1.018119e-03	-3.563826e-03	1.018119e-03
1.499443e-03	-3.136107e-03	1.499443e-03
1.760624e-03	-2.614819e-03	1.760624e-03
1.646107e-03	-2.096966e-03	1.646107e-03
1.164550e-03	-1.696921e-03	1.164550e-03
5.021533e-04	-1.528742e-03	5.021533e-04
-6.745738e-05	-1.632505e-03	-6.745738e-05
-3.334756e-04	-1.904264e-03	-3.334756e-04
-2.658999e-04	-2.118275e-03	-2.658999e-04
-2.154368e-05	-2.065962e-03	-2.154368e-05
1.683872e-04	-1.724858e-03	1.683872e-04
1.527760e-04	-1.315736e-03	1.527760e-04
-4.863117e-05	-1.173089e-03	-4.863117e-05
-2.760392e-04	-1.502089e-03	-2.760392e-04
-3.511911e-04	-2.202007e-03	-3.511911e-04
-1.974782e-04	-2.902566e-03	-1.974782e-04
1.231570e-04	-3.201476e-03	1.231570e-04
4.693341e-04	-2.933116e-03	4.693341e-04
7.185434e-04	-2.270908e-03	7.185434e-04
8.300536e-04	-1.593768e-03	8.300536e-04
8.379870e-04	-1.226454e-03	8.379870e-04
7.982634e-04	-1.249963e-03	7.982634e-04
7.412424e-04	-1.507721e-03	7.412424e-04
6.639525e-04	-1.772458e-03	6.639525e-04
5.555973e-04	-1.922483e-03	5.555973e-04
4.247842e-04	-1.992118e-03	4.247842e-04
3.037584e-04	-2.081806e-03	3.037584e-04
2.304067e-04	-2.228956e-03	2.304067e-04
2.267811e-04	-2.358091e-03	2.267811e-04
2.901627e-04	-2.346463e-03	2.901627e-04
3.977941e-04	-2.139462e-03	3.977941e-04
5.165848e-04	-1.814339e-03	5.165848e-04
6.116606e-04	-1.541438e-03	6.116606e-04
6.548609e-04	-1.476561e-03	6.548609e-04
6.350527e-04	-1.665349e-03	6.350527e-04
5.655046e-04	-2.020907e-03	5.655046e-04
4.795355e-04	-2.377199e-03	4.795355e-04
4.125119e-04	-2.574256e-03	4.125119e-04
3.815006e-04	-2.525913e-03	3.815006e-04
3.793301e-04	-2.246488e-03	3.793301e-04
3.888881e-04	-1.839584e-03	3.888881e-04
4.042495e-04	-1.461488e-03	4.042495e-04
4.366074e-04	-1.268338e-03	4.366074e-04
4.961807e-04	-1.356109e-03	4.961807e-04
5.664790e-04	-1.711767e-03	5.664790e-04
6.003460e-04	-2.202259e-03	6.003460e-04
5.518518e-04	-2.619798e-03	5.518518e-04
4.238894e-04	-2.773916e-03	4.238894e-04
2.884608e-04	-2.588195e-03	2.884608e-04
2.501843e-04	-2.146765e-03	2.501843e-04
3.686348e-04	-1.657064e-03	3.686348e-04
5.965335e-04	-1.342937e-03	5.965335e-04
7.903935e-04	-1.327232e-03	7.903935e-04
8.006575e-04	-1.574069e-03	8.006575e-04
5.839551e-04	-1.925876e-03	5.839551e-04
2.527850e-04	-2.208786e-03	2.527851e-04
1.534593e-05	-2.333847e-03	1.534595e-05
3.788930e-05	-2.326011e-03	3.788934e-05
3.246431e-04	-2.267985e-03	3.246431e-04
7.049914e-04	-2.211653e-03	7.049915e-04
9.432370e-04	-2.133980e-03	9.432371e-04
8.962818e-04	-1.975168e-03	8.962819e-04
6.073993e-04	-1.724378e-03	6.073995e-04
2.700062e-04	-1.472948e-03	2.700064e-04
9.050615e-05	-1.377756e-03	9.050648e-05
1.516821e-04	-1.552203e-03	1.516826e-04
3.730184e-04	-1.967172e-03	3.730190e-04
5.876546e-04	-2.443143e-03	5.876554e-04
6.687209e-04	-2.746454e-03	6.687220e-04
6.077767e-04	-2.723780e-03	6.077782e-04
4.944962e-04	-2.383642e-03	4.944982e-04
4.277784e-04	-1.879143e-03	4.277811e-04
4.374981e-04	-1.419241e-03	4.375017e-04
4.770773e-04	-1.175133e-03	4.770820e-04
4.818205e-04	-1.229144e-03	4.818266e-04
4.343033e-04	-1.566118e-03	4.343115e-04
3.791173e-04	-2.081819e-03	3.791280e-04
3.786250e-04	-2.598377e-03	3.786388e-04
4.529020e-04	-2.904778e-03	4.529200e-04
5.572330e-04	-2.838219e-03	5.572564e-04
6.150136e-04	-2.381285e-03	6.150438e-04
5.770169e-04	-1.709480e-03	5.770558e-04
4.593829e-04	-1.132719e-03	4.594327e-04
3.335421e-04	-9.408138e-04	3.336057e-04
2.792247e-04	-1.238806e-03	2.793055e-04
3.350151e-04	-1.878943e-03	3.351175e-04
4.762447e-04	-2.538691e-03	4.763739e-04
6.285131e-04	-2.898640e-03	6.286756e-04
7.060725e-04	-2.810907e-03	7.062759e-04
6.564746e-04	-2.361089e-03	6.567283e-04
4.923613e-04	-1.799642e-03	4.926765e-04
2.935593e-04	-1.396472e-03	2.939492e-04
1.711908e-04	-1.306452e-03	1.716713e-04
2.050530e-04	-1.512983e-03	2.056426e-04
3.886052e-04	-1.865606e-03	3.893257e-04
6.221258e-04	-2.178584e-03	6.230025e-04
7.689961e-04	-2.331509e-03	7.700583e-04
7.439269e-04	-2.317240e-03	7.452084e-04
5.711215e-04	-2.214658e-03	5.726606e-04
3.661094e-04	-2.110719e-03	3.679499e-04
2.517654e-04	-2.031774e-03	2.539564e-04
2.725890e-04	-1.939330e-03	2.751851e-04
3.743900e-04	-1.794589e-03	3.774519e-04
4.626365e-04	-1.633285e-03	4.662306e-04
4.863073e-04	-1.572701e-03	4.905057e-04
4.735390e-04	-1.724571e-03	4.784190e-04
4.900910e-04	-2.076278e-03	4.957344e-04
5.623815e-04	-2.449966e-03	5.688741e-04
6.395443e-04	-2.600445e-03	6.469742e-04
6.331810e-04	-2.396027e-03	6.416368e-04
5.012446e-04	-1.940041e-03	5.108137e-04
2.997635e-04	-1.520082e-03	3.105295e-04
1.524121e-04	-1.406648e-03	1.644513e-04
1.598596e-04	-1.653401e-03	1.732381e-04
