% n	Ex(V/m)		Ey(V/m)		Ez(V/m)
103	-9.384749e-04	-3.170784e-03	-9.384749e-04
104	-1.010244e-03	-3.056054e-03	-1.010244e-03
105	-1.032086e-03	-2.930058e-03	-1.032086e-03
106	-9.863129e-04	-2.798168e-03	-9.863129e-04
107	-8.595151e-04	-2.662119e-03	-8.595151e-04
108	-6.475857e-04	-2.519653e-03	-6.475857e-04
109	-3.582956e-04	-2.367493e-03	-3.582956e-04
110	-1.172630e-05	-2.205982e-03	-1.172630e-05
111	3.591014e-04	-2.041777e-03	3.591014e-04
112	7.066931e-04	-1.886281e-03	7.066931e-04
113	9.708560e-04	-1.751038e-03	9.708560e-04
114	1.090992e-03	-1.643555e-03	1.090992e-03
115	1.031242e-03	-1.565277e-03	1.031242e-03
116	8.085104e-04	-1.509746e-03	8.085104e-04
117	5.031127e-04	-1.458698e-03	5.031127e-04
118	2.354885e-04	-1.379417e-03	2.354885e-04
119	1.128461e-04	-1.232441e-03	1.128461e-04
120	1.741487e-04	-9.953657e-04	1.741487e-04
121	3.701164e-04	-6.931588e-04	3.701164e-04
122	5.958487e-04	-4.097332e-04	5.958487e-04
123	7.577453e-04	-2.580738e-04	7.577453e-04
124	8.302016e-04	-3.141274e-04	8.302016e-04
125	8.629062e-04	-5.555879e-04	8.629062e-04
126	9.344232e-04	-8.579046e-04	9.344232e-04
127	1.086208e-03	-1.066879e-03	1.086208e-03
128	1.284094e-03	-1.107652e-03	1.284094e-03
129	1.432942e-03	-1.051048e-03	1.432942e-03
130	1.432758e-03	-1.078945e-03	1.432758e-03
131	1.239573e-03	-1.362968e-03	1.239573e-03
132	8.967820e-04	-1.940093e-03	8.967820e-04
133	5.242542e-04	-2.675849e-03	5.242542e-04
134	2.737175e-04	-3.340622e-03	2.737175e-04
135	2.681464e-04	-3.739050e-03	2.681464e-04
136	5.441120e-04	-3.798132e-03	5.441120e-04
137	1.018119e-03	-3.563826e-03	1.018119e-03
138	1.499443e-03	-3.136107e-03	1.499443e-03
139	1.760624e-03	-2.614819e-03	1.760624e-03
140	1.646107e-03	-2.096966e-03	1.646107e-03
141	1.164550e-03	-1.696921e-03	1.164550e-03
142	5.021533e-04	-1.528742e-03	5.021533e-04
143	-6.745738e-05	-1.632505e-03	-6.745738e-05
144	-3.334756e-04	-1.904264e-03	-3.334756e-04
145	-2.658999e-04	-2.118275e-03	-2.658999e-04
